position;name
3;ACROBATICA
2;ALLA GRANDE PIERELLI
1;ALTERNATIVE SAILING - CONSTRUCTIONSDU BELON
4;AMARRIS
5;CAFE JOYEUX
6;CAP POUR ELLES
;CAPTAIN ALTERNANCE
;CENTRAKOR
;CREDIT MUTUEL
;CROSSCALL
;CURIUM LIFE FORWARD
;DEKUPLE
;DU VIRTUEL AU REEL
;EDEN PARK - LES PAPILLONS DU CIEL
;EDENRED
;EVERIAL
;GLACES ROMANE - DEVENEZ PARTENAIRE !
;GROUPE SNEF
;IBSA
;INFLUENCE2
;INTER INVEST
;L'ENVOL-KERMARREC PROMOTION
;LA BOULANGERE BIO
;LA MANCHE #EVIDENCENAUTIQUE
;LABEL EMMAÜS
;LE BLEUET DE France
;LEGALLAIS
;MILAI
;MOVEMBER FRA191
;NESTENN - ENTREPRENEURS POUR LA PLANETE
;PROJECT RESCUE OCEAN
;QWANZA
;RÊVE A PERTE DE VUE
;SEAFRIGO - SOGESTRAN
;SOTRAPLANT TRS
;TBA
;TEAM ZEISS-WEECYCLING
;THE SEA CLEANERS - UNIVERRE - ENSM
;TQUILA
;TRIMCONTROL
;VOGUE AVEC UN CROHN
;VOLVO
;WASABIII
