position;name
3;BIOTHERM
2;BUREAU VALLEE
1;CHARAL
4;CORUM L'EPARGNE
5;COUP DE POUCE - GIFFARD MANUTENTION
6;D'IETEREN GROUP
;DEVENIR
;DMG MORI GLOBAL ONE
;FIVES GROUP - LANTANA ENVIRONNEMENT
;FOR PEOPLE
;FOR THE PLANET
;FORTINET - BEST WESTERN
;FOUSSIER - MON COURTIER ENERGIE
;FREELANCE.COM
;GITANA 80
;GROUPE APICIL
;GUYOT ENVIRONNEMENT - WATER FAMILY
;HUBLOT
;HUMAN IMMOBILIER
;INITIATIVES-CŒUR
;L'OCCITANE EN PROVENCE
;LA MIE CÂLINE
;LAZARE
;MACIF
;MACSF
;MAÎTRE COQ V
;MALIZIA - SEAEXPLORER
;MEDALLIA
;MONNOYEUR DUO FOR A JOB
;NEW EUROPE
;NEXANS - ART & FENÊTRES
;PAPREC ARKEA
;PARTAGE
;PRYSMIAN GROUP
;SINGCHAIN TEAM HAIKOU
;STAND AS ONE - ALTAVIA
;TEAMWORK.NET
;V AND B - MONBANA - MAYENNE
