name;first_skipper_name;first_skipper_nationality;second_skipper_name;second_skipper_nationality;photo_url
ACROBATICA;Alberto RIVA;it;Jean MARRE;fr;
ALLA GRANDE PIERELLI;Ambrogio BECCARIA;it;Nicolas ANDRIEU;fr;
ALTERNATIVE SAILING-CONSTRUCTIONS DU BELON;Estelle GRECK;fr;Mathieu JONES;fr;
AMARRIS;Achille NEBOUT;fr;Gildas MAHE;fr;
AMIPI - TOMBELAINE COQUILLAGES;Baptiste HULIN;fr;Christophe BACHMANN;fr;
CAFE JOYEUX;Nicolas D'ESTAIS;fr;Léo DEBIESSE;fr;
CAPTAIN ALTERNANCE;Kéni PIPEROL;fr;Thomas JOURDREN;fr;
CENTRAKOR;Mikael MERGUI;fr;Ludovic MECHIN;fr;
CREDIT MUTUEL;Ian LIPINSKI;fr;Antoine CARPENTIER;fr;
CROSSCALL;Aurélien DUCROZ;fr;Vicnent RIOU;fr;
CURIUM LIFE FORWARD;Marc LEPESQUEUX;fr;Renaud DEHARENG;be;
DEKUPLE;William MATHELIN-MOREAUX;fr;Pietro LUCIANI;it;
EDENRED;Emmanuel LE ROCH;fr;Basile BOURGNON;fr;
ENGIE - DFDS - BRITTANY FERRIES;Pamela LEE;ie;Tiphaine RAGUENEAU;fr;
EVERIAL;Erwan LE DRAOULEC;fr;Tanguy LEGLATIN;fr;
GOOGLE CHROME;Kieran LE BORGNE;fr;Basile BUISSON;fr;
GROUPE SNEF;Xavier MACAIRE;fr;Pierre LEBOUCHER;fr;
IBSA;Alberto BONA;it;Pablo SANTURDE DEL ARCO;es;
INFLUENCE2;Andrea FORNARO;it;Benoît HANTZPERG;fr;
INTER INVEST;Matthieu PERRAUT;fr;Kevin BLOCH;fr;
L'ENVOL-KERMARREC PROMOTION;Anatole FACON;fr;Alice VALIERGUE;fr;
LA BOULANGERE BIO;Amélie GRASSI;fr;Anne-Claire LE BERRE;fr;
LA MANCHE #EVIDENCENAUTIQUE;Nicolas JOSSIER;fr;Alexis LOISON;fr;
LEGALLAIS;Fabien DELAHAYE;fr;Corentin DOUGUET;fr;
MARTINIQUE TCHALIAN;Hervé JEAN-MARIE;fr;Jean-Yves AGLAE;fr;
MOVEMBER;Bertrand GUILLONNEAU;fr;Kito DE PAVANT;fr;
NESTENN - ENTREPRENEURS POUR LA PLANETE;Jules BONNIER;fr;Robin FOLLIN;fr;
P - EDEN PARK - LES PAPILLONS DU CIEL;Nicolas BOMBRUN;fr;Paul BRANDEL;fr;
P - LABEL EMMAÜS;Jérome LESIEUR;fr;Damien JENNER;fr;
P - LE BLEUET DE FRANCE;Charlotte CORMOULS-HOULES;fr;Claire-Victoire DE FLEURIAN;fr;
P - MUSSULO 40;Jose Guilherme CALDAS;br;Gustavo PEIXOTO;br;
P - RÊVE A PERTE DE VUE;Joël PARIS;fr;Jérôme RAGIMBEAU;fr;
P - SOTRAPLANT TRS;Matthieu FOULQUIER-GAZAGNES;fr;Michel MILANESE;fr;
P - TRIMCONTROL;Alexandre LE GALLAIS;fr;Carlo VROON;nl;
PROJECT RESCUE OCEAN;Axel TREHIN;fr;Gwenaël RIOU;fr;
QWANZA;Goulven MARIE;fr;Nicolas BATTESTI;fr;
SEAFRIGO - SOGESTRAN;Cédric CHATEAU;fr;Guillaume PIROUELLE;fr;
SIGN FOR COM;Lennart BURKE;de;Melwin FINK;de;
TEAM ZEISS-WEECYCLING;Thimoté POLET;fr;Pierrick LETOUZE;fr;
THE SEA CLEANERS - UNIVERRE - ENSM;Renaud COURBON;fr;François CHAMPION;fr;
TQUILA;Alister RICHARDSON;gb;Brian THOMPSON;gb;
VOGUE AVEC UN CROHN;Pierre-Louis ATTWELL;fr;Maxime BENSA;fr;
VOGUE LE MONDE;Benoit LEQUIN;fr;Stéphane HUNOT;fr;
WASABIII;Stéphane BODIN;fr;Swann HAYEWSKI;fr;
