name;first_skipper_name;first_skipper_nationality;second_skipper_name;second_skipper_nationality;photo_url
BIOTHERM;Paul MEILHAT;FRA;Mariana LOBATO;POR;
BUREAU VALLEE;Louis BURTON;FRA;Davy BEAUDART;FRA;
CHARAL;Jérémie BEYOU;FRA;Franck CAMMAS;FRA;
CORUM L'EPARGNE;Nicolas TROUSSEL;FRA;Benjamin SCHWARTZ;FRA;
COUP DE POUCE - GIFFARD MANUTENTION;Manuel COUSIN;FRA;Clément GIRAUD;FRA;
D'IETEREN GROUP;Denis VAN WEYNBERGH;BEL;Erwan LE MENE;FRA;
DEVENIR;Violette DORANGE;FRA;Damien GUILLOU;FRA;
DMG MORI GLOBAL ONE;Kojiro SHIRAISHI;JPN;Thierry DUPREY DU VORSENT;FRA;
FIVES GROUP - LANTANA ENVIRONNEMENT;LouisDUC;FRA;Rémi AUBRUN;FRA;
FOR PEOPLE;Thomas RUYANT;FRA;Morgan LAGRAVIERE;FRA;
FOR THE PLANET;Sam GOODCHILD;GBR;Antoine KOC;FRA;
FORTINET - BEST WESTERN;Romain ATTANASIO;FRA;Loïs BERREHAR;FRA;
FOUSSIER - MON COURTIER ENERGIE;Sébastien MARSSET;FRA;Sophie FAGUET;FRA;
FREELANCE.COM;Guirec SOUDEE;FRA;Roland JOURDAIN;FRA;
GITANA 80;Ollie HEER;SUI;Nils PALMIERI;SUI;
GROUPE APICIL;Damien SEGUIN;FRA;Laurent BOURGUES;FRA;
GUYOT ENVIRONNEMENT - WATER FAMILY;Benjamin DUTREUX;FRA;Corentin HOREAU;FRA;
HUBLOT;Alan ROURA;SUI;Simon KOSTER;SUI;
HUMAN IMMOBILIER;Antoine CORNIC;FRA;Jean-Charles LURO;FRA;
INITIATIVES-CŒUR;Sam DAVIES;GBR;Nicolas LUNVEN;FRA;
L'OCCITANE EN PROVENCE;Clarisse CREMER;FRA;;;
LA MIE CÂLINE;Arnaud BOISSIERES;FRA;Gérald VENIARD;FRA;
LAZARE;Tanguy LE TURQUAIS;FRA;Félix DE NAVACELLE;FRA;
MACIF;Charlie DALIN;FRA;Pascal BIDEGORRY;FRA;
MACSF;Isabelle JOSCHKE;GER;Pierre BRASSEUR;FRA;
MAÎTRE COQ V;Yannick BESTAVEN;FRA;Julien PULVE;FRA;
MALIZIA - SEAEXPLORER;Boris HERRMANN;GER;William HARRIS;GBR;
MEDALLIA;Pip HARE;GBR;Nick BUBB;GBR;
MONNOYEUR DUO FOR A JOB;Benjamin FERRE;FRA;Pierre LE ROY;FRA;
NEW EUROPE;Szabolcs WEÖRES;HUN;Iris GRACHEVA;RUS;
NEXANS - ART & FENÊTRES;Fabrice AMEDEO;FRA;Andreas BADEN;GER;
PAPREC ARKEA;Yoann RICHOMME;FRA;Yann ELIES;FRA;
PARTAGE;François GUIFFANT;FRA;Aymeric BELLOIR;FRA;
PRYSMIAN GROUP;Giancarlo PEDOTE;ITA;;;
SINGCHAIN TEAM HAIKOU;Jingkun XU;CHN;Mike GOLDING;GBR;
STAND AS ONE - ALTAVIA;Eric BELLION;FRA;Martin LE PAPE;FRA;
TEAMWORK.NET;Justine METTRAUX;SUI;Julien VILLION;FRA;
V AND B - MONBANA - MAYENNE;Maxime SOREL;FRA;Christopher PRATT;FRA;
